position,preflop_actions,reach_prob,jp_actions
UTG,ROOT,1.0,
UTG,R2.5-F-R7.5-F-F-F,0.012234004944462364,UTGのオープン、COの3BET
UTG,R2.5-R7.5-F-F-F-F,0.01222703015980489,UTGのオープン、HJの3BET
UTG,R2.5-F-F-R7.5-F-F,0.010862258552093215,UTGのオープン、BTNの3BET
UTG,R2.5-F-F-F-R11-F,0.008785898723492752,UTGのオープン、SBの3BET
UTG,R2.5-F-F-F-F-R12,0.0067543624679637536,UTGのオープン、BBの3BET
HJ,F,0.823599,
HJ,R2.5,0.176401,UTGのオープン
HJ,F-R2.5-R7.5-F-F-F,0.01528039501460496,HJのオープン、COの3BET
HJ,F-R2.5-F-R7.5-F-F,0.013837310492197432,HJのオープン、BTNの3BET
HJ,F-R2.5-F-F-R12-F,0.010766789700538628,HJのオープン、SBの3BET
HJ,F-R2.5-F-F-F-R12,0.008693367004786593,HJのオープン、BBの3BET
CO,F-F,0.6492892132439999,
CO,F-R2.5,0.17430978675599998,HJのオープン
CO,R2.5-F,0.16240440091465,UTGのオープン
CO,F-F-R2.5-R7.5-F-F,0.020947847505201542,COのオープン、BTNの3BET
CO,F-F-R2.5-F-R12-F,0.015798425143124628,COのオープン、SBの3BET
CO,R2.5-R7.5,0.01399660261337,UTGのオープン、HJの3BET
CO,F-F-R2.5-F-F-R13,0.012699466301796277,COのオープン、BBの3BET
BTN,F-F-F,0.46606629015867557,
BTN,F-F-R2.5,0.18322292308532434,COのオープン
BTN,F-R2.5-F,0.1568956359472134,HJのオープン
BTN,R2.5-F-F,0.1488094635523243,UTGのオープン
BTN,F-F-F-R2.5-R12-F,0.02746587512728179,BTNのオープン、SBの3BET
BTN,F-F-F-R2.5-F-R13,0.023006255243085336,BTNのオープン、BBの3BET
BTN,F-R2.5-R7.5,0.017414149065688708,HJのオープン、COの3BET
BTN,R2.5-F-R7.5,0.013594931678171685,UTGのオープン、COの3BET
BTN,R2.5-R7.5-F,0.013527473444800736,UTGのオープン、HJの3BET
SB,F-F-F-F,0.2704144579478045,
SB,F-F-F-R2.5,0.19565183221087104,BTNのオープン
SB,F-F-R2.5-F,0.15603524306497002,COのオープン
SB,F-R2.5-F-F,0.1369312624763471,HJのオープン
SB,R2.5-F-F-F,0.13104806747061104,UTGのオープン
SB,F-F-R2.5-R7.5,0.02339610699129893,COのオープン、BTNの3BET
SB,F-F-F-F-R3-R10,0.017468542892099866,SBのオープン、BBの3BET
SB,F-R2.5-R7.5-F,0.01662433904188893,HJのオープン、COの3BET
SB,F-R2.5-F-R7.5,0.015056816674179647,HJのオープン、BTNの3BET
SB,R2.5-F-R7.5-F,0.01309632736267598,UTGのオープン、COの3BET
SB,R2.5-R7.5-F-F,0.013059050858090898,UTGのオープン、HJの3BET
SB,R2.5-F-F-R7.5,0.011625759280493453,UTGのオープン、BTNの3BET
SB,F-F-F-F-C-R5,0.006387592306793258,SBのコール、BBのオープン
SB,R2.5-F-F-C,0.00613563992621854,UTGのオープン、BTNのコール
SB,F-R2.5-F-C,0.004907553501878303,HJのオープン、BTNのコール
SB,F-F-F-F-C-R3,0.004855947750376813,SBのコール、BBのオープン
SB,F-F-R2.5-C,0.0037915794418577,COのオープン、BTNのコール
BB,F-F-F-R2.5-F,0.16534473731554403,BTNのオープン
BB,F-F-R2.5-F-F,0.13819088883105485,COのオープン
BB,F-R2.5-F-F-F,0.12291739254742566,HJのオープン
BB,R2.5-F-F-F-F,0.11987044443040802,UTGのオープン
BB,F-F-F-F-R3,0.10130861335448137,SBのオープン
BB,F-F-F-F-C,0.02997409059122439,SBのコール
BB,F-F-F-R2.5-R12,0.029276747346983146,BTNのオープン、SBの3BET
BB,F-F-R2.5-R7.5-F,0.022173863947134387,COのオープン、BTNの3BET
BB,F-F-R2.5-F-R12,0.016598403455926822,COのオープン、SBの3BET
BB,F-R2.5-R7.5-F-F,0.015963327725180616,HJのオープン、COの3BET
BB,F-R2.5-F-R7.5-F,0.01446294721659832,HJのオープン、BTNの3BET
BB,R2.5-F-R7.5-F-F,0.01266555065251512,UTGのオープン、COの3BET
BB,R2.5-R7.5-F-F-F,0.012645929090100278,UTGのオープン、HJの3BET
BB,R2.5-F-F-R7.5-F,0.011248754508241898,UTGのオープン、BTNの3BET
BB,F-R2.5-F-F-R12,0.011188046851449552,HJのオープン、SBの3BET
BB,R2.5-F-F-F-R11,0.00908560052167703,UTGのオープン、SBの3BET
BB,R2.5-F-F-C-F,0.005566599450146888,UTGのオープン、BTNのコール
BB,F-R2.5-F-C-F,0.00441799235575962,HJのオープン、BTNのコール
BB,F-F-R2.5-C-F,0.0033762390237951985,COのオープン、BTNのコール
BB,F-R2.5-F-F-C,0.0028258218450905176,HJのオープン、SBのコール
BB,R2.5-F-F-F-C,0.0020920248773912057,UTGのオープン、SBのコール
BB,F-F-R2.5-F-C,0.0012459476572835083,COのオープン、SBのコール
BB,F-F-F-R2.5-C,0.0010303356135820906,BTNのオープン、SBのコール
